Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk10.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk11.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk12.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk1.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk2.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk3.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk4.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk5.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk6.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk7.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk8.raw.dia	/gpfs/group/home/titusj/1303_larry/20240709_Ast_Neo_Aurora_25um-75umID_FAIMS_CV-50_20mz_DIA_400-1000_50maxIT_800agc_25nce_36m_pilot-2_neuron_bcmk9.raw.dia
A0A075B5N3;A0A0G2JE47;Q6KB05	A0A075B5N3;A0A0G2JE47;Q6KB05	A0A075B5N3_MOUSE;A0A0G2JE47_MOUSE;Q6KB05_MOUSE	Igkv8-28;scFv	Immunoglobulin kappa variable 8-28	555.776	798.003	1154.34						1021.52		290.81	522.914
A0A087WNT3;A0A087WP64;A0A087WPE6;A0A087WRS3	A0A087WNT3;A0A087WP64;A0A087WPE6;A0A087WRS3	A0A087WNT3_MOUSE;A0A087WP64_MOUSE;A0A087WPE6_MOUSE;A0A087WRS3_MOUSE	Abi2	Abl interactor 2 (Fragment)				264.51	92.1697	404.009				153.674		
A0A087WP14;A0A087WP48;A0A087WP85;A0A087WPW5;A0A087WPX0;A0A087WQD0;A0A087WQF8;A0A087WQG4;A0A087WS04;A0A087WS23;A0A087WS29	A0A087WP14;A0A087WP48;A0A087WP85;A0A087WPW5;A0A087WPX0;A0A087WQD0;A0A087WQF8;A0A087WQG4;A0A087WS04;A0A087WS23;A0A087WS29	A0A087WP14_MOUSE;A0A087WP48_MOUSE;A0A087WP85_MOUSE;A0A087WPW5_MOUSE;A0A087WPX0_MOUSE;A0A087WQD0_MOUSE;A0A087WQF8_MOUSE;A0A087WQG4_MOUSE;A0A087WS04_MOUSE;A0A087WS23_MOUSE;A0A087WS29_MOUSE	Ktn1	Kinectin 1				178.617		392.948				156.411		
A0A087WQF0	A0A087WQF0	A0A087WQF0_MOUSE	Plppr2	Phospholipid phosphatase related 2	187.819			150.186	502.608	421.898	982.335			175.057	565.338	317.1
A0A097PUD0;A0A097PUG4	A0A097PUD0;A0A097PUG4	A0A097PUD0_MOUSE;A0A097PUG4_MOUSE		Anti-dectin-1 15E2 light chain	6997.7	6914.19	9680.48	1162.11	2472.82	1985.27	2785.93	5209.19	5090.93	1384.03	2860.35	2723.94
A0A0A6YW27;A0A0A6YXT1;Q6DD96;Q6NXW8;Q8BS92;Q8CHE5;Q91XX9;Q91XY1;Q91XY2;Q91XY6;Q91XY7;Q91XZ0;Q9Z1B0	A0A0A6YW27;A0A0A6YXT1;Q6DD96;Q6NXW8;Q8BS92;Q8CHE5;Q91XX9;Q91XY1;Q91XY2;Q91XY6;Q91XY7;Q91XZ0;Q9Z1B0	A0A0A6YW27_MOUSE;A0A0A6YXT1_MOUSE;Q6DD96_MOUSE;Q6NXW8_MOUSE;Q8BS92_MOUSE;Q8CHE5_MOUSE;Q91XX9_MOUSE;Q91XY1_MOUSE;Q91XY2_MOUSE;Q91XY6_MOUSE;Q91XY7_MOUSE;Q91XZ0_MOUSE;Q9Z1B0_MOUSE	Pcdhga1;Pcdhga12;Pcdhga2;Pcdhga6;Pcdhga7;Pcdhga9	Protocadherin gamma subfamily A, 1					351.686	406.648				453.836	845.767	1161.77
A0A0A6YWM0;A0A0A6YWY8;A0A0A6YY09;A0A0A6YY37;B2RXR7;B2RY66;B2RY69;F8VPK8;Q8BY10	A0A0A6YWM0;A0A0A6YWY8;A0A0A6YY09;A0A0A6YY37;B2RXR7;B2RY66;B2RY69;F8VPK8;Q8BY10	A0A0A6YWM0_MOUSE;A0A0A6YWY8_MOUSE;A0A0A6YY09_MOUSE;A0A0A6YY37_MOUSE;B2RXR7_MOUSE;B2RY66_MOUSE;B2RY69_MOUSE;F8VPK8_MOUSE;Q8BY10_MOUSE	Pcdh9	Protocadherin 9 (Fragment)				403.305		458.576	685.779			273.229	747.49	284.272
A0A0A6YXS5;A0A0R4J0Q2;B7ZMQ9;D3YUD3;D3YUL8;D3Z230;E9Q9A0;E9QAD0;F6R4N2;F6V2U0;Q0VBQ7;Q3UEQ1	D3YUD3;D3YUL8;D3Z230;E9Q9A0;F6V2U0;Q3UEQ1;A0A0A6YXS5;A0A0R4J0Q2;B7ZMQ9;E9QAD0;F6R4N2;Q0VBQ7	A0A0A6YXS5_MOUSE;A0A0R4J0Q2_MOUSE;B7ZMQ9_MOUSE;D3YUD3_MOUSE;D3YUL8_MOUSE;D3Z230_MOUSE;E9Q9A0_MOUSE;E9QAD0_MOUSE;F6R4N2_MOUSE;F6V2U0_MOUSE;Q0VBQ7_MOUSE;Q3UEQ1_MOUSE	Inpp4a	Inositol polyphosphate-4-phosphatase, type I		471.782		396.514	321.189	257.458			433.243	391.448		
A0A0A6YY47;E9QB01	A0A0A6YY47;E9QB01	A0A0A6YY47_MOUSE;E9QB01_MOUSE	Ncam1	Neural cell adhesion molecule 1				960.098		822.605						
A0A0A6YY83;A2RS43;E9Q2S0;O88185;Q3TVS7;Q3USI1	A0A0A6YY83;A2RS43;E9Q2S0;O88185;Q3TVS7;Q3USI1	A0A0A6YY83_MOUSE;A2RS43_MOUSE;E9Q2S0_MOUSE;O88185_MOUSE;Q3TVS7_MOUSE;Q3USI1_MOUSE	Pcdh7	Protocadherin 7				415.548	512.778	306.005	196.8			375.288		112.092
